100
(94, 71)
(75, 60)
(30, 87)
(98, 37)
(66, 39)
(80, 4)
(28, 75)
(45, 63)
(28, 1)
(21, 25)
(66, 95)
(63, 60)
(66, 82)
(50, 97)
(95, 29)
(23, 97)
(32, 35)
(3, 26)
(85, 67)
(20, 36)
(29, 61)
(86, 31)
(13, 9)
(39, 3)
(77, 41)
(54, 76)
(80, 46)
(20, 63)
(39, 89)
(51, 49)
(83, 38)
(34, 72)
(6, 66)
(52, 41)
(99, 64)
(3, 64)
(6, 72)
(70, 9)
(25, 57)
(32, 33)
(48, 68)
(73, 99)
(32, 75)
(29, 5)
(74, 30)
(32, 80)
(96, 7)
(37, 7)
(7, 70)
(0, 94)
(33, 10)
(84, 61)
(18, 29)
(71, 81)
(82, 76)
(68, 74)
(56, 53)
(80, 41)
(21, 52)
(12, 64)
(47, 46)
(55, 20)
(40, 90)
(81, 75)
(83, 23)
(35, 10)
(18, 84)
(46, 82)
(47, 74)
(25, 28)
(69, 76)
(77, 28)
(57, 0)
(24, 83)
(5, 65)
(83, 29)
(94, 93)
(0, 76)
(70, 32)
(32, 11)
(27, 25)
(98, 22)
(67, 39)
(80, 37)
(77, 10)
(61, 23)
(62, 71)
(45, 32)
(3, 56)
(58, 96)
(14, 70)
(0, 35)
(95, 68)
(79, 47)
(30, 79)
(41, 8)
(64, 33)
(28, 91)
(18, 21)
(42, 57)
